Date "Cumulative Returns"
2016-02-12 0.06803250356847368
2016-02-15 0.06803250356847368
2016-02-16 0.06803250356847368
2016-02-17 0.06803250356847368
2016-02-18 0.06803250356847368
2016-02-19 0.06803250356847368
2016-02-22 0.06803250356847368
2016-02-23 0.06803250356847368
2016-02-24 0.06803250356847368
2016-02-25 0.06803250356847368
2016-02-26 0.06803250356847368
2016-02-29 0.06803250356847368
2016-03-01 0.06803250356847368
2016-03-02 0.06803250356847368
2016-03-03 0.06803250356847368
2016-03-04 0.06803250356847368
2016-03-07 0.06803250356847368
2016-03-08 0.06803250356847368
2016-03-09 0.06803250356847368
2016-03-10 0.06803250356847368
2016-03-11 0.06803250356847368
2016-03-14 0.06803250356847368
2016-03-15 0.06803250356847368
2016-03-16 0.06803250356847368
2016-03-17 0.06803250356847368
2016-03-18 0.06803250356847368
2016-03-21 0.06803250356847368
2016-03-22 0.06803250356847368
2016-03-23 0.06803250356847368
2016-03-24 0.06803250356847368
2016-03-25 0.06803250356847368
2016-03-28 0.06803250356847368
2016-03-29 0.06803250356847368
2016-03-30 0.06803250356847368
2016-03-31 0.06803250356847368
2016-04-01 0.06803250356847368
2016-04-04 0.062073319711820396
2016-04-05 0.05733724784732619
2016-04-06 0.04854861486634743
2016-04-07 0.03978285222126754
2016-04-08 0.04249795227565745
2016-04-11 0.04345599005511147
2016-04-12 0.04876844735905461
2016-04-13 0.05222676620047739
2016-04-14 0.05222676620047739
2016-04-15 0.05222676620047739
2016-04-18 0.05222676620047739
2016-04-19 0.05222676620047739
2016-04-20 0.05222676620047739
2016-04-21 0.05222676620047739
2016-04-22 0.05222676620047739
2016-04-25 0.05222676620047739
2016-04-26 0.05222676620047739
2016-04-27 0.05222676620047739
2016-04-28 0.05222676620047739
2016-04-29 0.05222676620047739
2016-05-02 0.05222676620047739
2016-05-03 0.05222676620047739
2016-05-04 0.05222676620047739
2016-05-05 0.05222676620047739
2016-05-06 0.05222676620047739
2016-05-09 0.05222676620047739
2016-05-10 0.05222676620047739
2016-05-11 0.05222676620047739
2016-05-12 0.05222676620047739
2016-05-13 0.05222676620047739
2016-05-16 0.05222676620047739
2016-05-17 0.05222676620047739
2016-05-18 0.05222676620047739
2016-05-19 0.05222676620047739
2016-05-20 0.05222676620047739
2016-05-23 0.05222676620047739
2016-05-24 0.05222676620047739
2016-05-25 0.05222676620047739
2016-05-26 0.05222676620047739
2016-05-27 0.05222676620047739
2016-05-31 0.05222676620047739
2016-06-01 0.05222676620047739
2016-06-02 0.05222676620047739
2016-06-03 0.05222676620047739
2016-06-06 0.05750108939594423
2016-06-07 0.05630215301895447
2016-06-08 0.05719837353470325
2016-06-09 0.056156417785535595
2016-06-10 0.0645041654553653
2016-06-13 0.0645041654553653
2016-06-14 0.0645041654553653
2016-06-15 0.0645041654553653
2016-06-16 0.0645041654553653
